Start,End,Colour
2006-09-09 13:45:00,2006-09-09 15:30:00,Red
2006-09-09 15:30:00,2006-09-09 16:15:00,Amber
2006-09-13 07:50:00,2006-09-13 09:30:00,Amber
2006-09-13 09:30:00,2006-09-13 12:15:00,Red
2006-09-13 12:15:00,2006-09-13 13:45:00,Amber
2006-09-13 17:40:00,2006-09-13 23:15:00,Amber
2006-11-21 15:30:00,2006-11-21 20:25:00,Amber
2007-04-24 10:15:00,2007-04-24 10:40:00,Amber
2007-04-24 10:40:00,2007-04-24 12:30:00,Red
2007-04-24 12:30:00,2007-04-24 13:20:00,Amber
2007-05-19 16:30:00,2007-05-19 18:30:00,Amber
2007-05-20 07:10:00,2007-05-20 11:55:00,Amber
2007-05-27 04:35:00,2007-05-27 05:35:00,Amber
2007-05-27 14:45:00,2007-05-27 16:00:00,Amber
2007-06-10 02:45:00,2007-06-10 03:25:00,Amber
2007-06-10 03:25:00,2007-06-10 04:55:00,Red
2007-06-10 04:55:00,2007-06-10 08:30:00,Amber
2007-06-28 09:00:00,2007-06-28 10:30:00,Amber
2007-06-29 05:40:00,2007-06-29 06:25:00,Amber
2007-08-06 03:55:00,2007-08-06 05:30:00,Amber
2007-08-22 10:00:00,2007-08-22 11:00:00,Amber
2008-04-19 16:40:00,2008-04-19 17:10:00,Amber
2008-04-19 17:10:00,2008-04-19 19:15:00,Red
2008-04-19 19:15:00,2008-04-19 21:30:00,Black
2008-05-29 09:05:00,2008-05-29 11:40:00,Amber
2008-06-03 18:35:00,2008-06-03 20:10:00,Amber
2008-06-06 13:20:00,2008-06-06 16:10:00,Amber
2008-06-07 05:15:00,2008-06-07 05:55:00,Amber
2008-06-07 05:55:00,2008-06-07 06:40:00,Red
2008-06-07 06:40:00,2008-06-07 11:00:00,Black
2008-06-07 11:00:00,2008-06-07 11:30:00,Red
2008-06-07 11:30:00,2008-06-07 13:30:00,Amber
2008-06-13 21:40:00,2008-06-13 22:15:00,Amber
2008-06-13 22:15:00,2008-06-14 02:50:00,Red
2008-06-14 02:50:00,2008-06-14 04:10:00,Amber
2008-06-25 05:15:00,2008-06-25 06:00:00,Amber
2008-06-25 06:00:00,2008-06-25 10:10:00,Red
2008-06-25 10:10:00,2008-06-25 12:20:00,Amber
2008-06-26 08:30:00,2008-06-26 08:50:00,Amber
2008-06-26 08:50:00,2008-06-26 10:00:00,Red
2008-07-06 17:35:00,2008-07-06 19:20:00,Amber
2008-07-08 09:15:00,2008-07-08 10:45:00,Amber
2008-07-10 06:35:00,2008-07-10 11:15:00,Amber
2008-07-12 02:15:00,2008-07-12 03:00:00,Amber
2008-07-12 03:00:00,2008-07-12 07:10:00,Red
2008-07-12 07:10:00,2008-07-12 07:45:00,Amber
2008-07-14 23:25:00,2008-07-15 01:30:00,Amber
2008-08-08 07:15:00,2008-08-08 09:05:00,Amber
2008-09-24 11:05:00,2008-09-24 16:20:00,Amber
2008-10-05 08:50:00,2008-10-05 11:30:00,Amber
2008-10-05 18:15:00,2008-10-05 20:40:00,Amber
2009-03-05 14:00:00,2009-03-05 15:00:00,Amber
2009-03-05 16:10:00,2009-03-05 17:10:00,Amber
2009-03-24 08:20:00,2009-03-24 09:30:00,Amber
2009-04-16 02:05:00,2009-04-16 03:25:00,Amber
2009-04-25 10:20:00,2009-04-25 12:40:00,Amber
2009-05-21 05:50:00,2009-05-21 08:30:00,Amber
2009-05-23 16:45:00,2009-05-23 19:00:00,Amber
2009-05-24 13:05:00,2009-05-24 15:00:00,Amber
2009-06-04 00:20:00,2009-06-04 01:10:00,Amber
2009-06-04 01:10:00,2009-06-04 02:10:00,Red
2009-06-04 02:10:00,2009-06-04 03:35:00,Amber
2009-06-11 06:15:00,2009-06-11 08:40:00,Amber
2009-06-12 10:25:00,2009-06-12 11:45:00,Amber
2009-07-06 01:05:00,2009-07-06 04:20:00,Amber
2009-07-19 01:45:00,2009-07-19 02:25:00,Amber
